"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"株式会社　龍閑堂薬局","〒101－0032 千代田区岩本町三丁目４番１号","03-3866-4615","株式会社　龍閑堂薬局　代表取締役　瀬　泰介","瀬　泰介","薬局現存"
"株式会社　山田眞薬局","〒101－0061 千代田区神田三崎町三丁目４番８号","03-3261-0093","株式会社　山田眞薬局　代表取締役　山田　陽","山田　喜実恵","薬局現存"
"小川町薬局","〒101－0052 千代田区神田小川町三丁目２番地１","03-3291-1065","有限会社　小川町薬局　代表取締役　石津　俊一","石津　俊一","薬局現存"
"神田登栄薬局","〒101－0044 千代田区鍛冶町二丁目２番９号　第二登栄ビル５階","03-3254-0848","有限会社　神田登栄薬局　代表取締役　舩戸　久直","岡田　睦子","薬局現存"
"新お茶の水薬局","〒101－0062 千代田区神田駿河台四丁目３番地　新お茶の水ビル地下１階","03-3295-6877","株式会社　新お茶の水ファーマシー　代表取締役　菊池　順子","濱野　眞紀子","薬局現存"
"東京薬局","〒101－0051 千代田区神田神保町一丁目２１番地２","03-3291-0082","有限会社　東京薬局　代表取締役　一和多　澄佳","一和多　澄佳","薬局現存"
"二六堂調剤薬局","〒101－0024 千代田区神田和泉町１番地１１　ファベルハウス１階","03-3864-8269","有限会社　二六堂薬局　取締役　森本　浩彰","平塚　健悟","薬局現存"
"マルマツ薬局","〒102－0072 千代田区飯田橋二丁目９番５号","03-3261-7224","株式会社　マルマツ薬局　代表取締役　松村　善一","松村　善一","薬局現存"
"お茶の水駅前薬局","〒101－0062 千代田区神田駿河台二丁目３番地　お茶の水髙木ビル１階","03-3291-2438","株式会社　ニシザワ　代表取締役　西沢　寛造","佐脇　峰惠","薬局現存"
"清水薬局","〒102－0072 千代田区飯田橋一丁目１０番４号","03-3261-3554","有限会社　清水薬局　代表取締役　清水　弘明","清水　靖子","薬局現存"
"第一薬局","〒101－0061 千代田区三崎町一丁目４番８号　愛光舎ビル１階","03-3295-3800","有限会社　第一薬局　代表取締役　李　京子","申　栄姫","薬局現存"
"小西三誠堂薬局","〒102－0083 千代田区麹町二丁目４番地１０　三誠堂ビル１階","03-3262-5291","合名会社　三誠堂　代表社員　都築　衛","都築　衛","薬局現存"
"興生堂薬局","〒101－0051 千代田区神田神保町一丁目４８番地１","03-3291-4417","有限会社　興生堂薬局　代表取締役　永山　徹","永山　徹","薬局現存"
"日本調剤飯田橋薬局","〒102－0071 千代田区富士見二丁目３番１３号","03-5275-5867","日本調剤　株式会社　代表取締役　三津原　庸介","藤井　堅太郎","薬局現存"
"あつみ調剤薬局","〒101－0027 千代田区神田平河町１番地　澤山ビル２．３階","03-5687-8526","あつみ薬品株式会社　代表取締役　松本　正","小山　美香","薬局現存"
"シンセイ堂薬局","〒101－0021 千代田区外神田三丁目１５番７号","03-3251-0993","有限会社　新成　代表取締役　関根　貞亮","関根　葉子","薬局現存"
"東優企業組合　オギムラ薬局営業所","〒102－0074 千代田区九段南二丁目４番１１号","03-3261-0278","東優企業組合　理事長　増渕　英寿","荻村　武弘","薬局現存"
"水道橋薬局","〒101－0061 千代田区神田三崎町二丁目１７番５号","03-5226-2388","有限会社　水道橋薬局　取締役　磯田　一也","磯田　一也","薬局現存"
"小池薬局","〒102－0071 千代田区富士見二丁目１１番１２号　馬場ビル１階","03-3261-3632","有限会社　小池薬局　代表取締役　馬場　勇一","馬場　奈保子","薬局現存"
"江川薬局","〒101－0021 千代田区外神田六丁目１３番１４号","03-3831-7150","有限会社　江川薬局　代表取締役　江川　明子","江川　明子","薬局現存"
"薬局タワードラッグ","〒100－0011 千代田区内幸町一丁目１番１号　インペリアルタワー１階","03-3501-5677","有限会社　宝珠　代表取締役　三浦　利雄","村井　里帆","薬局現存"
"ココカラファイン薬局神保町店","〒101－0051 千代田区神田神保町二丁目９番地　神田神保町メディカルモール１階","03-3556-0574","株式会社　ココカラファインヘルスケア　代表取締役　塚本　厚志","鈴木　一弘","薬局現存"
"アサヒ薬局","〒101－0046 千代田区神田多町二丁目７番地５　アサヒビル１階","03-3252-0016","有限会社　アサヒ薬局　取締役　東海林　順子","東海林　順子","薬局現存"
"麹町調剤薬局","〒102－0083 千代田区麹町三丁目７番地　グラフィオ麹町","03-3222-3977","日進薬局　有限会社　代表取締役　石川　知代子","岡　敦子","薬局現存"
"薬局トモズ　神田和泉町店","〒101－0024 千代田区神田和泉町１番地　住友商事神田和泉町ビル１階","03-5687-1189","株式会社　トモズ　代表取締役　德廣　英之","城戸　啓子","薬局現存"
"薬局アメリカンファーマシー　丸の内店","〒100－0005 千代田区丸の内二丁目４番１号　丸の内ビルディング地下１階","03-5220-7716","株式会社　トモズ　代表取締役　德廣　英之","寺﨑　小百合","薬局現存"
"子安薬局　有楽町店","〒100－0006 千代田区有楽町一丁目１０番１号　有楽町ビルヂング１階","03-3201-3335","株式会社　子安　代表取締役　伊藤　昌弘","久保　由莉奈","薬局現存"
"タンシ薬局","〒102－0072 千代田区飯田橋三丁目７番４号　彩風館１階","03-5215-1502","有限会社　淡志　代表取締役　荒井　秀夫","荒井　秀夫","薬局現存"
"十字堂薬局","〒101－0052 千代田区神田小川町一丁目５番地１　神田御幸ビル１階","03-3295-4660","十字堂調剤　株式会社　代表取締役　菊池　武夫","鈴木　聡","薬局現存"
"クローバー薬局","〒102－0094 千代田区紀尾井町３番２９号　紀尾井町第２山本ビル１階","03-3512-5858","有限会社　オーティーオー　取締役　音琴　茂","音琴　茂","薬局現存"
"神田薬局","〒101－0054 千代田区神田錦町一丁目６番地　鈴木ビル１階","03-3233-1132","有限会社　エストゥエス　代表取締役　四十万　秀子","杉本　佳子","薬局現存"
"バンビー薬局　一番町店","〒102－0083 千代田区麹町一丁目８番３号　半蔵門ハイム１階","03-3230-0471","有限会社　バンビー薬局　代表取締役　吉松　幹雄","黒木　宏隆","薬局現存"
"池田薬局","〒102－0074 千代田区九段南四丁目６番１号　九段シルバーパレス１０３号","03-3265-0051","有限会社　ファーマシー池田　代表取締役　池田　賢一","池田　和代","薬局現存"
"コトブキ調剤薬局","〒101－0062 千代田区神田駿河台二丁目１０番地１","03-3291-0380","株式会社　阪神調剤薬局　代表取締役　岩崎　壽毅","江南　雄樹","薬局現存"
"有美薬局","〒101－0047 千代田区内神田三丁目２１番７号　有田ビル１階","03-3254-6006","有限会社　さくらファーマシー　取締役　大塚　吉史","藤井　知子","薬局現存"
"エフエル薬局","〒100－0014 千代田区永田町二丁目１４番２号　山王グランドビル１階","03-3593-1366","株式会社　信栄　代表取締役　磯貝　潤子","磯貝　汀","薬局現存"
"ニシザワ薬局","〒101－0047 千代田区内神田三丁目１４番８号　ニシザワビル１階","03-3252-2430","有限会社　ＮＰＫ　代表取締役　西沢　寛造","西沢　寛造","薬局現存"
"調剤薬局　丸の内ファーマシー","〒100－0005 千代田区丸の内一丁目６番２号　新丸の内センタービルディング２階","03-5288-6755","株式会社　ファーマテック　代表取締役　北原　久也","大岩根　香織","薬局現存"
"日本調剤　お茶の水中央薬局","〒101－0062 千代田区神田駿河台二丁目１番１５号　岩崎ビル１階２階","03-5217-0871","日本調剤　株式会社　代表取締役　三津原　庸介","村上　麻萌","薬局現存"
